"source","translation_tr_TR"
"Nothing new is taught here. The ridge, the bait and the beheading are all things you already know; Cannae only asks whether you can run three of them at once against four times your number.","Burada yeni bir şey öğretilmiyor. Sırt, yem ve başı kesmek zaten bildiğin şeyler; Cannae yalnızca üçünü aynı anda, kendi sayının dört katına karşı çevirebilir misin diye soruyor."
"Nothing on the shore road survives once both ends are held.","İki uç da tutulduğunda kıyı yolunda hiçbir şey sağ kalmaz."
"One minute. Spend the reserve; save the camp.","Bir dakika. Yedeği harca; kampı kurtar."
"One officer, no line. The next column will not even slow down.","Tek bir subay, hat yok. Sıradaki kol yavaşlamayacak bile."
"One redoubt, two mouths, five columns. Break every assault that comes down the cart gate and the goat path, and still be standing when the fifth is spent.","Bir tabya, iki ağız, beş kol. Araba kapısından ve keçi yolundan inen her taarruzu kır ve beşincisi tükendiğinde hâlâ ayakta ol."
"Overcut the levy. A surplus is the only thing a quartermaster has ever thanked anyone for.","Levhayı fazlasıyla kes. Bir levazımcının bugüne dek birine teşekkür ettiği tek şey fazlalıktır."
"Preserve the market and four homes: Campania is being defended for its people and supplies, not merely its walls.","Pazarı ve dört evi koru: Campania yalnızca surları için değil, halkı ve erzağı için savunuluyor."
"Provision the column for the descent: harvest timber, stone and iron from the pass while the mountain tribes contest every switchback.","Kolu iniş için donat: dağ kabileleri her viraja itiraz ederken geçitten kereste, taş ve demir topla."
"Raze every Roman post. Leave Scipio nothing to rally behind.","Her Roma karakolunu yerle bir et. Scipio'ya arkasında toplanacak hiçbir şey bırakma."
"Reach the Rhone crossing","Rhône geçidine ulaş"
"Rear guard deployment detected across the southern wadi. This is the final phase.","Güneydeki kuru dere boyunca artçı yerleşimi saptandı. Bu son evre."
"Ride down the commanders once the crossings break.","Geçitler kırıldığında komutanları atla ez."
"Roman cavalry is attempting a breakout from the south. Intercept them.","Roma süvarisi güneyden bir yarma deniyor. Onları karşıla."
"Roman cavalry screens the field. Punch through before reserves arrive.","Roma süvarisi meydanı perdeliyor. Yedekler gelmeden yar."
"Roman cavalry waves intensify. Collapse one flank before the rear guard arrives.","Roma süvari dalgaları yoğunlaşıyor. Artçı gelmeden bir kanadı çökert."
"Roman reinforcements are approaching from the eastern road.","Roma takviyeleri doğu yolundan yaklaşıyor."
"Roman reserves are entering from the northern camp. Close the pocket faster.","Roma yedekleri kuzey kampından giriyor. Cebi daha hızlı kapat."
"Roman reserves are moving from the western bank.","Roma yedekleri batı kıyısından geliyor."
"Scipio extends the line. Keep your center steady and protect elephants from isolation.","Scipio hattı genişletiyor. Merkezini sağlam tut ve fillerin yalnız kalmasını önle."
"Scipio inherits any crossing you leave behind.","Arkanda bıraktığın her geçit Scipio'ya kalır."
"Seal the road. Let no scout cross the Ticino alive.","Yolu mühürle. Hiçbir izci Ticino'yu sağ geçmesin."
"Second pass defenders are reinforcing. Keep the column moving.","İkinci geçit savunucuları takviye alıyor. Kolu yürütmeyi sürdür."
"Second-wave Roman cavalry is maneuvering for your rear. Rebalance your flanks.","İkinci dalga Roma süvarisi arkana manevra yapıyor. Kanatlarını yeniden dengele."
"Seize Masinissa's camp to finish the four.","Dördü tamamlamak için Masinissa'nın kampını ele geçir."
"Seize Varro's town at the centre of the Roman line.","Roma hattının merkezindeki Varro'nun kasabasını ele geçir."
"Seize all four Roman camps — the consular line, Masinissa's Numidians, the rear guard, and the northern camp — before the cavalry closes your rear.","Süvari arkanı kapatmadan dört Roma kampını da — konsül hattı, Masinissa'nın Numidyalıları, artçı ve kuzey kampı — ele geçir."
"Seize both Roman camps. The ambush is not finished until their flags come down.","İki Roma kampını da ele geçir. Pusu, sancakları inmeden bitmiş olmaz."
"Seize the Roman hill fort","Roma tepe kalesini ele geçir"
"Seize the camp guarding Scipio's rear.","Scipio'nun arkasını koruyan kampı ele geçir."
"Seize the river town","Nehir kasabasını ele geçir"
"Seize the second Roman camp on the north-east road.","Kuzeydoğu yolundaki ikinci Roma kampını ele geçir."
"Seize the second camp at the eastern end of the lake.","Gölün doğu ucundaki ikinci kampı ele geçir."
"Seize the two river forts. Leave no crossing for Scipio's army to inherit.","İki nehir kalesini de ele geçir. Scipio'nun ordusuna miras kalacak hiçbir geçit bırakma."
"Sempronius spends his army on the ice; you only have to still be standing.","Sempronius ordusunu buzda harcıyor; senin tek yapman gereken hâlâ ayakta olmak."
"Set builders on the slopes; the pass is paid for in materials, not blood.","İnşaatçıları yamaçlara koş; geçidin bedeli kanla değil malzemeyle ödenir."
"Sixty men and a shrine the local people will not walk past after dark. My orders say investigate. I would sooner burn it and write that we investigated, but the Senate reads.","Altmış adam ve yerlilerin karanlıktan sonra yanından geçmediği bir mabet. Emrim araştırmak diyor. Onu yakıp araştırdık diye yazmayı yeğlerdim, ama Senato okuyor."
"So the centre gave and the wings did not. That was well done, and I say so, and I was inside it. Rome has lost an army and a ring for every knight in it. Rome has not yet lost anything that matters.","Demek merkez verdi, kanatlar vermedi. İyi yapılmıştı, bunu söylüyorum ve içindeydim. Roma bir ordu ve içindeki her şövalye için bir yüzük yitirdi. Roma henüz önemli olan bir şey yitirmedi."
"So you came down the far side. Fewer, and on foot, and I am told you left the baggage up in the snow along with the men who were carrying it. Italy is waiting. Italy is not empty.","Demek öbür yamaçtan indin. Daha az sayıda, yaya ve duyduğuma göre ağırlıkları, onları taşıyan adamlarla birlikte karda bırakmışsın. İtalya bekliyor. İtalya boş değil."
"So you have come down out of the rocks after all. Fewer than the count they gave me, and greyer. Well. The Ticinus is shallow, the ground beyond it is ours, and I have a great deal of time in which to be wrong about you.","Demek sonunda kayalardan indin. Bana verilen sayıdan az ve daha kır saçlı. Peki. Ticinus sığ, ötesindeki toprak bizim ve senin hakkında yanılmak için bir hayli zamanım var."
"So. The Barcid crawls down to the Rhone. Cross where you like - the river is not particular about whose bones it keeps, and Rome has a great deal of patience and a very great many shovels. My surveyors are already pacing out your grave. They tell me the ground here drinks well.","Demek. Barka, Rhône'a doğru sürünüyor. İstediğin yerden geç - nehir kimin kemiklerini tuttuğuna aldırmaz ve Roma'nın bir hayli sabrı ve pek çok küreği vardır. Ölçücülerim şimdiden mezarını adımlıyor. Buranın toprağı iyi içermiş, diyorlar."
"Spring the ambush and capture both Roman field camps within twenty minutes, before the mist lifts and a cohort escapes the basin.","Pusuyu kur ve sis kalkıp bir kohort havzadan kaçmadan yirmi dakika içinde iki Roma sahra kampını da ele geçir."
"Stand in the gate yard of the northern advance camp until it falls to Carthage.","Kuzeydeki ileri kampın kapı avlusunda, orası Kartaca'ya düşene kadar dur."
"Stand your ground. The last soldier alone is not a force — he is a sacrifice.","Yerinde dur. Tek başına kalan son asker bir kuvvet değildir — bir kurbandır."
"Strike now. Close the western route and split their line.","Şimdi vur. Batı güzergâhını kapat ve hatlarını böl."
"Supply is a target - and it cuts both ways. Your market and your homes are what the Romans are actually marching at, and their siege camp keeps its own stockpile within reach of a raid.","İkmal bir hedeftir - ve bu iki taraf için de geçerlidir. Romalıların aslında üzerine yürüdüğü şey senin pazarın ve evlerin; onların kuşatma kampı da kendi deposunu bir baskının erişebileceği yerde tutuyor."
"Take Scipio's town","Scipio'nun kasabasını al"
"Take the Numidian camp","Numidya kampını al"
"Take the Roman marching town at the head of the lakeside road.","Göl kıyısı yolunun başındaki Roma yürüyüş kasabasını al."
"Take the allied camp","Müttefik kampı al"
"Take the bridge camp and the eastern reserve quarter before the Roman scouts vanish into the fog.","Roma izcileri sise karışmadan köprü kampını ve doğudaki yedek mahalleyi al."
"Take the consular town","Konsül kasabasını al"
"Take the crossings, then. Take the whole cold length of the road north and every stone laid on it. Rome does not lose provinces - she lends them, at interest, and I am told the collectors on this road wear no faces at all.","Öyleyse geçitleri al. Kuzeye giden yolun bütün soğuk uzunluğunu ve üzerine döşenmiş her taşı al. Roma eyalet yitirmez - onları faizle ödünç verir ve duyduğuma göre bu yoldaki tahsildarların hiç yüzü yokmuş."
"Take the cursed shrine above the sepulcher ruins and hold what you take: clear the guardians out of the ruins, then drive the dead off the shrine itself.","Kabir harabelerinin üstündeki lanetli mabedi al ve aldığını tut: bekçileri harabelerden temizle, sonra ölüleri mabedin kendisinden sür."
"Take the first pass quickly before the next ambush line assembles.","Bir sonraki pusu hattı toplanmadan ilk geçidi hızla al."
"Take the northern camp","Kuzey kampını al"
"Take the rearguard camp","Artçı kampını al"
"Take the reserve camp","Yedek kampı al"
"Take the river camp","Nehir kampını al"
"Take the second camp on the southern supply road.","Güney ikmal yolundaki ikinci kampı al."
"Take the shore camp","Kıyı kampını al"
"Taking the rear first denies the cavalry a place to rally.","Önce arkayı almak süvariye toplanacak bir yer bırakmaz."
"The Campanian Vigil","Campania Nöbeti"
"The Roman column enters the corridor. Wait for full commitment.","Roma kolu koridora giriyor. Tam olarak girmesini bekle."
"The Roman column walks into a geographical trap and is destroyed by converging attacks while the lakeside Sepulcher altar remains an optional horror.","Roma kolu coğrafi bir tuzağa yürür ve birleşen saldırılarla yok edilir; göl kıyısındaki Kabir sunağı isteğe bağlı bir dehşet olarak kalır."
"The Roman villages are heavily defended. Coordinate your attacks!","Roma köyleri sıkı savunuluyor. Saldırılarını eşgüdümle!"
"The Romans are baited into the winter river and punished by Mago's concealed force, then the defense becomes an assault on a complete winter camp.","Romalılar kış nehrine çekilip Mago'nun gizli kuvvetiyle cezalandırılır, sonra savunma eksiksiz bir kış kampına taarruza dönüşür."
"The Timber Levy","Kereste Levhası"
"The centre gives way once the wings are wrapped around it.","Kanatlar çevresine dolandığında merkez çöker."
"The centre is the strongest camp; bring the elephants up first.","Merkez en güçlü kamptır; önce filleri çıkar."
"The commander falls and the line behind him is just men standing in a dry riverbed.","Komutan düşer ve arkasındaki hat, kuru bir dere yatağında duran adamlardan ibaret kalır."
"The commander falls — and every line collapses behind him.","Komutan düşer — ve arkasındaki her hat çöker."
"The commander falls — the vigil ends. And the dead keep walking.","Komutan düşer — nöbet biter. Ve ölüler yürümeyi sürdürür."
"The crew is gone and the officer is standing in a clearing with an axe. That is not a work party.","Ekip yok oldu ve subay bir açıklıkta elinde baltayla duruyor. Bu bir çalışma kolu değil."
"The crossing is a running battle against terrain, local resistance, and Roman influence. Sepulcher grave-lights remain a dangerous side path rather than the campaign's main enemy.","Geçiş; arazi, yerel direniş ve Roma nüfuzuna karşı süren bir savaştır. Kabir'in mezar ışıkları, seferin ana düşmanı değil, tehlikeli bir yan yol olarak kalır."
"The dead of the Iron Sepulcher still contest the field; keep a reserve.","Demir Kabir'in ölüleri meydana hâlâ itiraz ediyor; bir yedek tut."
"The final confrontation is Carthage against three coordinated Roman commands, until an Iron Sepulcher host attacks from the battlefield's neglected flank.","Son karşılaşma, savaş alanının ihmal edilmiş kanadından bir Demir Kabir ordusu saldırana kadar Kartaca'ya karşı üç eşgüdümlü Roma komutasıdır."
