"source","translation_pl_PL"
"The dead of the Iron Sepulcher still contest the field; keep a reserve.","Umarli z Żelaznego Grobowca wciąż walczą o pole; trzymaj odwód."
"The final confrontation is Carthage against three coordinated Roman commands, until an Iron Sepulcher host attacks from the battlefield's neglected flank.","Ostateczne starcie to Kartagina przeciw trzem zgranym dowództwom rzymskim — dopóki zastęp Żelaznego Grobowca nie uderzy z zaniedbanego skrzydła pola bitwy."
"The last camp lies to the north-east, beyond the consular line.","Ostatni obóz leży na północnym wschodzie, za linią konsularną."
"The lights are out and the ground is quiet. Count them twice and burn what will burn. Whatever was in there stood here before Rome and will stand here after it. Tonight it simply has other business.","Światła zgasły, a ziemia jest cicha. Przelicz ich dwa razy i spal, co się da spalić. Cokolwiek tam było, stało tu przed Rzymem i będzie stało po nim. Dziś w nocy ma po prostu inne sprawy."
"The mist lifted a little early for you. It happens. The lake will keep what it has been given, and the thing beneath the altar on the shore is not particular about whose it is.","Mgła podniosła się dla ciebie odrobinę za wcześnie. Bywa. Jezioro zatrzyma to, co mu dano, a to, co jest pod ołtarzem na brzegu, nie wybrzydza, czyje to."
"The officer of the detail falls. Nobody else here can sign for the levy.","Oficer oddziału pada. Nikt inny nie podpisze tu odbioru poboru."
"The pass keeps them, then. A word of advice to whoever reads this: do not follow the lights on the snowfield. Whatever carries a lantern at that height stopped being a shepherd a long time ago.","A więc przełęcz ich zatrzyma. Rada dla tego, kto to przeczyta: nie idź za światłami na śnieżnym polu. Cokolwiek nosi latarnię na tej wysokości, dawno przestało być pasterzem."
"The quarter holds when the last column is dead in the streets.","Dzielnica trzyma, gdy ostatnia kolumna legnie martwa na ulicach."
"The redoubt is gone. Go south, keep the spur on your left, and do not stop to look at the ford. There is nothing there now that is worth a second of your life.","Reduty nie ma. Idź na południe, trzymaj ostrogę po lewej i nie zatrzymuj się, by spojrzeć na bród. Nie ma tam teraz nic wartego sekundy twojego życia."
"The reserve feeds the consular line; cut it and the line thins.","Odwód karmi linię konsularną; przetnij go, a linia się przerzedzi."
"The river keeps whatever it is given. Your elephants went in and not all of them came out, and the Trebia is not a large river. Rome has never needed a large one.","Rzeka zatrzymuje wszystko, co jej dano. Twoje słonie weszły i nie wszystkie wyszły, a Trebia nie jest wielką rzeką. Rzym nigdy nie potrzebował wielkiej."
"The river runs north to south across the middle of the valley; the nearest crossing is due east of camp.","Rzeka płynie z północy na południe przez środek doliny; najbliższa przeprawa leży dokładnie na wschód od obozu."
"The road runs north-west along the shore; strike the head of the column first.","Droga biegnie na północny zachód wzdłuż brzegu; uderz najpierw w czoło kolumny."
"The scouts are not coming back, then. Well - everyone begins somewhere, and you have begun by killing eleven men who were expecting their lunch. Rome will send someone who counts next time.","A więc zwiadowcy nie wracają. Cóż — każdy gdzieś zaczyna, a ty zacząłeś od zabicia jedenastu ludzi, którzy spodziewali się obiadu. Następnym razem Rzym przyśle kogoś, kto liczy."
"The shrines you have walked past all campaign were never scenery. Zama reads back over every map behind it - and the Sepulcher has no commander to kill, so the one rule that has served you since Trasimene is the one rule that will not work here.","Świątynie, obok których przechodziłeś przez całą kampanię, nigdy nie były dekoracją. Zama czyta wstecz każdą mapę za sobą — a Grobowiec nie ma dowódcy do zabicia, więc jedyna zasada, która służyła ci od Trazymenu, jest tą jedną, która tu nie zadziała."
"The siege works stand to the east of the quarter.","Prace oblężnicze stoją na wschód od dzielnicy."
"The spur splits them for us, which is the only kindness this ground offers. Cart gate west, goat path east, and they only meet where we are standing. You cannot hold both mouths. Pick one, hold it, and move when the horns tell you to.","Ostroga dzieli ich za nas i to jedyna łaskawość tego gruntu. Brama dla wozów na zachodzie, kozia ścieżka na wschodzie, a spotykają się dopiero tam, gdzie stoimy. Nie utrzymasz obu wylotów. Wybierz jeden, trzymaj go i ruszaj, gdy zagrają rogi."
"The winter camp lies north across the river.","Obóz zimowy leży na północy, za rzeką."
"Their camps fall neutral once their commander is dead.","Ich obozy stają się neutralne, gdy zginie ich dowódca."
"Their troops leave the field with them.","Ich wojska schodzą z pola razem z nimi."
"Then it holds a little longer. Go home to your Senate and tell them what a Roman looks like from close to. I shall be here in the spring, and the spring after that, and I am younger than you.","To znaczy, że utrzyma się jeszcze trochę. Wracaj do swojego Senatu i powiedz im, jak wygląda Rzymianin z bliska. Będę tu na wiosnę i na następną wiosnę, a jestem młodszy od ciebie."
"There. No battle, no glory, no monument: a town with nothing left in it and a road with my army standing on it. They will call me the Delayer. Let them. Your dead will not care what I am called.","Proszę. Żadnej bitwy, żadnej chwały, żadnego pomnika: miasto, w którym nic nie zostało, i droga, na której stoi moja armia. Nazwą mnie Zwlekaczem. Niech nazywają. Twoim zmarłym będzie wszystko jedno, jak mnie nazywają."
"There. Sit down in the mud with the others. They tell me the men who die on this road do not stay where they are put - that they rise about the third watch and go on marching north without their officers. Do continue. You are expected.","Proszę. Siadaj w błocie razem z resztą. Mówią mi, że ludzie, którzy giną na tej drodze, nie zostają tam, gdzie ich położono — że wstają koło trzeciej straży i maszerują dalej na północ bez oficerów. Kontynuuj śmiało. Czekają na ciebie."
"There. That is what the river was for. Have your surgeons work quickly, and tell whatever is left of your baggage train that the road home goes back up the mountain.","Proszę. Po to właśnie była ta rzeka. Niech twoi lekarze pracują szybko i powiedz temu, co zostało z twojego taboru, że droga do domu prowadzi z powrotem w górę."
"They are getting up again. Do not look at the faces; you will know some of them. Fall back to the road, keep walking, and do not stop to bury anything. It does not stay buried here.","Znowu wstają. Nie patrz im w twarze; niektóre rozpoznasz. Cofnij się na drogę, idź dalej i nie zatrzymuj się, by cokolwiek pogrzebać. Tu nic nie zostaje pogrzebane."
"They tell me you have taken an army into the Alps in October, with elephants. I have stopped chasing you. The mountain is a more thorough officer than I am and it does not require pay.","Mówią mi, że wprowadziłeś armię w Alpy w październiku, ze słoniami. Przestałem cię ścigać. Góra jest sumienniejszym oficerem niż ja i nie żąda żołdu."
"Three Roman columns have entered the consular roads. The first coordinated assault arrives at 17:00.","Trzy rzymskie kolumny weszły na drogi konsularne. Pierwsze zgrane natarcie nadejdzie o 17:00."
"Timber for the sledges, stone for the roadbed, iron for shoes and axles.","Drewno na sanie, kamień na podkład drogi, żelazo na okucia i osie."
"Timber only counts once a builder unloads it at the camp. The richest stands are the furthest from the stockpile, so the mission is won on the length of the walk, not the swing of the axe.","Drewno liczy się dopiero wtedy, gdy budowniczy złoży je w obozie. Najbogatsze drzewostany są najdalej od składu, więc misję wygrywa długość drogi, a nie zamach siekiery."
"Turn the nearest Roman allied camp south of the field.","Przeciągnij na swoją stronę najbliższy obóz sprzymierzeńców Rzymu na południe od pola."
"Turn the nearest Roman camp before the cavalry returns.","Przeciągnij na swoją stronę najbliższy obóz rzymski, zanim wróci jazda."
"Twenty minutes before the mist lifts. If a cohort clears the basin, Rome learns the shape of the trap.","Dwadzieścia minut, zanim mgła się podniesie. Jeśli kohorta wyjdzie z kotliny, Rzym pozna kształt pułapki."
"Two bridges cross the Rhône. Choose your path wisely - you may need both routes!","Rodan przecinają dwa mosty. Wybierz drogę mądrze — możesz potrzebować obu tras!"
"With the river camp taken there is nowhere left for the legions to reform.","Gdy obóz nad rzeką padnie, legionom nie zostanie już gdzie się przeformować."
"You bent us and we did not break, and that is the only sentence anyone will need. Gather your dead off the Aufidus. The river runs slow here; they will be a long time going by.","Nagiąłeś nas, a myśmy nie pękli, i to jedyne zdanie, jakiego ktokolwiek będzie potrzebował. Zbierz swoich zmarłych znad Aufidusa. Rzeka płynie tu wolno; długo będą przepływać."
"You have a walled town, an orchard, and a very great many mouths. I have the roads. I am not going to fight you. I am going to stand between you and every granary in Campania until winter explains my position better than I can.","Masz miasto w murach, sad i bardzo, bardzo wiele gęb. Ja mam drogi. Nie zamierzam z tobą walczyć. Zamierzam stać między tobą a każdym spichlerzem w Kampanii, dopóki zima nie wyjaśni mojego stanowiska lepiej, niż potrafię ja."
"You have the river town. My congratulations - you now own three hundred mouths, two wells, and a temple whose god has lately been asking after Carthage by name. Feed them. I shall come back in the spring and count what is left.","Masz miasto nad rzeką. Gratuluję — jesteś teraz właścicielem trzystu gęb, dwóch studni i świątyni, której bóg ostatnio dopytuje o Kartaginę po imieniu. Nakarm ich. Wrócę na wiosnę i policzę, co zostało."
"You killed a consul. Good. Rome keeps forty more in cupboards in the city, and I promise you the ones still in the cupboards are worse. He will be missed - briefly, and only by his creditors.","Zabiłeś konsula. Dobrze. Rzym trzyma w mieście czterdziestu następnych w szafach i zapewniam cię, że ci wciąż w szafach są gorsi. Będzie mu brakowało — krótko i tylko jego wierzycielom."
"Your camp falls — the field goes with it.","Twój obóz pada — a razem z nim pole."
"Your command falls — and the wings fold inward.","Twoje dowództwo pada — i skrzydła zwijają się do środka."
"Your commander falls - and every line collapses behind him.","Twój dowódca pada — i każda linia za nim się zawala."
"%1 × %2","%1 × %2"
"Orders","Rozkazy"
"Orders — any one of these ends it","Rozkazy — wystarczy dowolny z nich"
"Orders — all of them, or none","Rozkazy — wszystkie albo żaden"
"You","Ty"
"Missions","Misje"
"One small field, one order to carry out. No campaign to lose, no second army to worry about.","Jedno małe pole, jeden rozkaz do wykonania. Żadnej kampanii do przegrania, żadnej drugiej armii do pilnowania."
"carried out","wykonano"
"← Back","← Wstecz"
"No missions are installed.","Nie zainstalowano żadnych misji."
"Carried out","Wykonano"
"Worth doing as well","Warto też zrobić"
"You bring","Przyprowadzasz"
"It ends badly if","Kończy się źle, jeśli"
"You have carried this one out before.","Wykonałeś już ten rozkaz."
