"source","translation_es_ES"
"Their camps fall neutral once their commander is dead.","Sus campamentos quedan neutrales en cuanto muere su comandante."
"Their troops leave the field with them.","Sus tropas abandonan el campo con ellos."
"Timber for the sledges, stone for the roadbed, iron for shoes and axles.","Madera para los trineos, piedra para el firme, hierro para herraduras y ejes."
"Turn the nearest Roman allied camp south of the field.","Voltea el campamento aliado romano más cercano al sur del campo."
"Turn the nearest Roman camp before the cavalry returns.","Voltea el campamento romano más cercano antes de que vuelva la caballería."
"With the river camp taken there is nowhere left for the legions to reform.","Tomado el campamento del río, a las legiones no les queda dónde reformarse."
"Roman Republic","República romana"
"Carthaginian Empire","Imperio cartaginés"
"The Iron Sepulcher","El Sepulcro de Hierro"
"Shield Wall","Muro de escudos"
"Testudo","Testudo"
"%1h %2m","%1 h %2 min"
"%1m %2s","%1 min %2 s"
"%1s","%1 s"
"Mission briefing","Informe de misión"
"Mission Briefing","Informe de misión"
"Close the briefing","Cerrar el informe"
"To Battle","A la batalla"
"Move","Mover"
"Attack","Atacar"
"Guard","Vigilar"
"Patrol","Patrullar"
"Hold position","Mantener posición"
"Stop","Detener"
"Build","Construir"
"Gather","Recolectar"
"Deliver","Entregar"
"Repair","Reparar"
"Rally point","Punto de reunión"
"Formation","Formación"
"You are not in command of these units.","No estás al mando de estas unidades."
"That target is already gone.","Ese objetivo ya no existe."
"Cannot attack a friendly or neutral target.","No se puede atacar a un objetivo aliado o neutral."
"That building no longer exists.","Ese edificio ya no existe."
"That building is not yours.","Ese edificio no es tuyo."
"That order could not be carried out.","Esa orden no se pudo ejecutar."
"%1: %2 units","%1: %2 unidades"
"No units selected.","No hay unidades seleccionadas."
"The selected units cannot attack.","Las unidades seleccionadas no pueden atacar."
"The selected units cannot guard.","Las unidades seleccionadas no pueden vigilar."
"The selected units cannot patrol.","Las unidades seleccionadas no pueden patrullar."
"The selected units cannot hold position.","Las unidades seleccionadas no pueden mantener la posición."
"The selected units cannot build.","Las unidades seleccionadas no pueden construir."
"The selected units cannot gather.","Las unidades seleccionadas no pueden recolectar."
"Only civilians can be delivered to a barracks.","Solo los civiles pueden entregarse en un cuartel."
"Only builders can repair structures.","Solo los constructores pueden reparar estructuras."
"The selected units cannot take that order.","Las unidades seleccionadas no pueden cumplir esa orden."
"No enemy under the cursor.","No hay ningún enemigo bajo el cursor."
"Select a friendly barracks with room for more people.","Elige un cuartel propio con sitio para más gente."
"Select a damaged friendly building to repair.","Elige un edificio propio dañado para repararlo."
"Nothing to target there.","Ahí no hay nada que apuntar."
"Choose a spot on the map.","Elige un punto en el mapa."
"That barracks has no room for more people.","Ese cuartel no tiene sitio para más gente."
"That building does not need repairs.","Ese edificio no necesita reparaciones."
"That order is not available here.","Esa orden no está disponible aquí."
"Your builders only take down your own buildings.","Tus constructores solo desmontan tus propios edificios."
"That building cannot be taken down.","Ese edificio no se puede desmontar."
"Continue","Continuar"
"Select a map","Selecciona un mapa"
"Players (%1)","Jugadores (%1)"
"Click color/team to cycle","Haz clic en el color o el equipo para cambiarlo"
"Select a map to configure players","Selecciona un mapa para configurar los jugadores"
"+ Add CPU","+ Añadir CPU"
"Add AI player to the game","Añadir un jugador de IA a la partida"
"Max players reached","Se ha alcanzado el máximo de jugadores"
"%1 slot available","%1 puesto disponible"
"%1 slots available","%1 puestos disponibles"
"(map preview)","(vista previa del mapa)"
"Every slot on this map is taken","Todos los puestos de este mapa están ocupados"
"Color","Color"
"Click to change color","Haz clic para cambiar el color"
"Click to change team","Haz clic para cambiar de equipo"
"Remove player","Quitar jugador"
"Select a tree, boulder, ore deposit, ripe farm or sheep.","Selecciona un árbol, una roca, un yacimiento, una granja madura o una oveja."
"Select a tree to chop.","Selecciona un árbol para talarlo."
"Select a boulder to collect.","Selecciona una roca para recogerla."
"Select iron ore to collect.","Selecciona mineral de hierro para recogerlo."
"No available builder can chop that tree.","Ningún constructor disponible puede talar ese árbol."
"No available builder can collect that boulder.","Ningún constructor disponible puede recoger esa roca."
"No available builder can collect that iron ore.","Ningún constructor disponible puede recoger ese mineral de hierro."
"No available builder can collect that resource.","Ningún constructor disponible puede recoger ese recurso."
"No walkable spot near that tree.","No hay un lugar transitable cerca de ese árbol."
"No walkable spot near that boulder.","No hay un lugar transitable cerca de esa roca."
"No walkable spot near that iron ore.","No hay un lugar transitable cerca de ese mineral de hierro."
"No walkable spot near that resource.","No hay un lugar transitable cerca de ese recurso."
"Drag out a wall line first.","Traza primero una línea de muralla."
"Choose a build location.","Elige un lugar de construcción."
"That resource is already assigned.","Ese recurso ya está asignado."
"Cannot build there.","No se puede construir ahí."
"No valid wall segments in that drag.","No hay tramos de muralla válidos en ese trazado."
"No available builder.","No hay ningún constructor disponible."
"That structure cannot be placed.","Esa estructura no se puede colocar."
"Building factory unavailable.","La fábrica de edificios no está disponible."
"PRODUCTION QUEUE","COLA DE PRODUCCIÓN"
"RECRUIT UNITS","RECLUTAR UNIDADES"
"Queue is full (5/5)","La cola está llena (5/5)"
"Cannot recruit","No se puede reclutar"
"Set where newly recruited units will gather.\nRight-click to cancel.","Fija dónde se reunirán las unidades recién reclutadas.\nClic derecho para cancelar."
"Right-click to cancel","Clic derecho para cancelar"
"No Barracks Selected","Ningún cuartel seleccionado"
"Select a barracks to recruit units","Selecciona un cuartel para reclutar unidades"
"Wood","Madera"
"Stone","Piedra"
"Iron","Hierro"
"Catapult","Catapulta"
"Long-range siege weapon\nEffective against structures","Arma de asedio de largo alcance\nEficaz contra estructuras"
"Ballista","Balista"
"Precision siege weapon\nEffective against units","Arma de asedio de precisión\nEficaz contra unidades"
"Defense Tower","Torre defensiva"
"Stationary defense structure\nShoots arrows at enemies","Estructura defensiva fija\nDispara flechas a los enemigos"
